,id,album,artists,duration_ms,explicit,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,152lZdxL1OR0ZMW6KquMif,American Teen,['Khalid'],219080,False,Location,80,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126
1,6SwRhMLwNqEi6alNPVG00n,DAMN.,"['Kendrick Lamar', 'Rihanna']",227360,True,LOYALTY. FEAT. RIHANNA.,80,0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684
2,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",141805,True,STAY (with Justin Bieber),88,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
3,6oEVnWKgPqIEPc53OYDNqG,I Used To Know Her,"['H.E.R.', 'Bryson Tiller']",252746,False,Could've Been (feat. Bryson Tiller),80,0.45,0.352,1,-11.733,0,0.267,0.649,3.8e-06,0.249,0.408,102.679
4,5f1joOtoMeyppIcJGZQvqJ,Be Like That (feat. Swae Lee & Khalid),"['Kane Brown', 'Swae Lee', 'Khalid']",191406,False,Be Like That - feat. Swae Lee & Khalid,75,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97
5,6N22FZs2ZhPBYi3b9XPajV,Euphoria (Original Score from the HBO Series),['Labrinth'],153294,False,Still Don't Know My Name,81,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643
6,2gAGWaK4wvt2xrFUlR4mK8,AT.LONG.LAST.A$AP,"['A$AP Rocky', 'Joe Fox', 'Kanye West']",323960,True,Jukebox Joints (feat. Joe Fox & Kanye West),75,0.284,0.803,2,-5.293,0,0.173,0.302,0.0,0.242,0.553,67.536
7,6KfoDhO4XUWSbnyKjNp9c4,Kid Krow,['Conan Gray'],185773,False,Maniac,82,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045
8,3HqcNJdZ2seoGxhn0wVNDK,MAÑANA SERÁ BONITO,['KAROL G'],207626,False,PROVENZA,86,0.87,0.517,1,-7.918,1,0.0475,0.576,0.00553,0.11,0.54,111.002
9,4qG7hWhljsqqENL5PaLA2z,Did you know that there's a tunnel under Ocean Blvd,"['Lana Del Rey', 'Father John Misty']",278126,False,Let The Light In (feat. Father John Misty),81,0.327,0.452,9,-9.726,1,0.0277,0.344,0.00332,0.11,0.202,132.427
